# time_s gauge_0_train_simulated gauge_0_train_observed gauge_1_train_simulated gauge_1_train_observed gauge_2_test_simulated gauge_2_test_observed
2.4400000000e+01 -6.4153975119e-03 -6.9600000000e-03 1.0227319792e-03 -3.3500000000e-03 -2.8383047329e-03 -2.2500000000e-03
2.4600000000e+01 -7.1927801210e-03 -7.5600000000e-03 6.1383665494e-04 -3.7500000000e-03 -3.4161699016e-03 -2.6500000000e-03
2.4800000000e+01 -7.8219942753e-03 -7.7600000000e-03 2.5833832397e-04 -4.4500000000e-03 -3.8284614204e-03 -2.8500000000e-03
2.5000000000e+01 -8.3584051159e-03 -7.9600000000e-03 -5.5839962282e-05 -4.6500000000e-03 -4.1098316731e-03 -3.0500000000e-03
2.5200000000e+01 -8.8325679155e-03 -7.9600000000e-03 -3.4881290749e-04 -5.1500000000e-03 -4.3070137971e-03 -3.1500000000e-03
2.5400000000e+01 -9.2401411015e-03 -8.1600000000e-03 -6.2525603179e-04 -5.3500000000e-03 -4.4638543453e-03 -3.1500000000e-03
2.5600000000e+01 -9.6015184607e-03 -8.2600000000e-03 -8.7889920988e-04 -5.5500000000e-03 -4.5906546536e-03 -3.2500000000e-03
2.5800000000e+01 -9.9341817962e-03 -8.5600000000e-03 -1.1113423130e-03 -5.6500000000e-03 -4.6979488843e-03 -3.2500000000e-03
2.6000000000e+01 -1.0237819164e-02 -8.9600000000e-03 -1.3250603155e-03 -5.6500000000e-03 -4.7895268776e-03 -3.3500000000e-03
2.6200000000e+01 -1.0515712074e-02 -9.1600000000e-03 -1.5087101481e-03 -5.7500000000e-03 -4.8670117083e-03 -3.3500000000e-03
2.6400000000e+01 -1.0775849603e-02 -9.1600000000e-03 -1.6613043784e-03 -5.8500000000e-03 -4.9307364576e-03 -3.3500000000e-03
2.6600000000e+01 -1.1025560024e-02 -9.2600000000e-03 -1.7844981909e-03 -5.8500000000e-03 -4.9857590245e-03 -3.3500000000e-03
2.6800000000e+01 -1.1263314794e-02 -9.3600000000e-03 -1.8818078503e-03 -5.8500000000e-03 -5.0331639416e-03 -3.3500000000e-03
2.7000000000e+01 -1.1489265962e-02 -9.3600000000e-03 -1.9603639524e-03 -5.8500000000e-03 -5.0731785057e-03 -3.3500000000e-03
2.7200000000e+01 -1.1696549893e-02 -9.3600000000e-03 -2.0238310507e-03 -5.8500000000e-03 -5.1071338270e-03 -3.4500000000e-03
2.7400000000e+01 -1.1865381331e-02 -9.4600000000e-03 -2.0754544911e-03 -5.8500000000e-03 -5.1365373872e-03 -3.4500000000e-03
2.7600000000e+01 -1.2000378871e-02 -9.4600000000e-03 -2.1182693823e-03 -5.9500000000e-03 -5.1623028627e-03 -3.4500000000e-03
2.7800000000e+01 -1.2118177017e-02 -9.4600000000e-03 -2.1548328207e-03 -5.8500000000e-03 -5.1848355160e-03 -3.4500000000e-03
2.8000000000e+01 -1.2204923838e-02 -9.4600000000e-03 -2.1866887472e-03 -5.8500000000e-03 -5.2045447756e-03 -3.4500000000e-03
2.8200000000e+01 -1.2270610641e-02 -9.6600000000e-03 -2.2145136011e-03 -5.8500000000e-03 -5.2219183951e-03 -3.5500000000e-03
2.8400000000e+01 -1.2322388682e-02 -9.6600000000e-03 -2.2405800023e-03 -5.8500000000e-03 -5.2350698546e-03 -3.5500000000e-03
2.8600000000e+01 -1.2363665548e-02 -9.6600000000e-03 -2.2648310585e-03 -5.8500000000e-03 -4.6917368981e-03 -3.5500000000e-03
2.8800000000e+01 -1.2403951726e-02 -9.6600000000e-03 -2.2872246299e-03 -5.8500000000e-03 -2.7709727146e-03 -3.5500000000e-03
2.9000000000e+01 -1.2440654541e-02 -9.7600000000e-03 -2.3078280988e-03 -5.9500000000e-03 -1.3522540416e-03 -3.5500000000e-03
2.9200000000e+01 -1.2473030231e-02 -9.7600000000e-03 -2.3266638199e-03 -6.0500000000e-03 -9.1931850157e-04 -3.5500000000e-03
2.9400000000e+01 -1.2501501850e-02 -9.9600000000e-03 -2.3437782963e-03 -5.8500000000e-03 -1.2027307046e-03 -3.5500000000e-03
2.9600000000e+01 -1.2526688912e-02 -9.9600000000e-03 -2.3592465398e-03 -5.8500000000e-03 -1.6635665805e-03 -3.6500000000e-03
2.9800000000e+01 -1.2549131652e-02 -1.0060000000e-02 -2.3732169719e-03 -5.8500000000e-03 -2.1405067587e-03 -3.5500000000e-03
